RunId,iteration,Step,cognitive_capacity,signal_noise,task_complexity,rng,1,3,5,8,12,18
0,0,21.0,6,0.0,0.0,,0.36192044279933683,0.4890552004519965,0.6155224901083922,0.6304076893971544,0.6193430120077179,0.5736493044372335
0,0,22.0,6,0.0,0.0,,0.3645498398905694,0.4942340916914242,0.620923521334214,0.620235881770342,0.6264972491850662,0.6194192952046464
0,0,23.0,6,0.0,0.0,,0.3536213386967895,0.49831164066776845,0.6210486963655323,0.6208132418046051,0.629184531038931,0.5858210988929646
0,0,24.0,6,0.0,0.0,,0.35463478186236175,0.49806175931723085,0.6206005201888131,0.6292828544254534,0.6252882792353992,0.576519059602587
0,0,25.0,6,0.0,0.0,,0.3549705773760789,0.49965582672270925,0.6229045279167621,0.620459446628483,0.6395940099909577,0.5754266311226465
0,0,26.0,6,0.0,0.0,,0.34356025106938737,0.5042296452091772,0.6198021600115167,0.6225653976214576,0.6128742546961595,0.5641087510147911
0,0,27.0,6,0.0,0.0,,0.372169491109431,0.5054794450897903,0.622265839774925,0.6296761899467449,0.6128251189165556,0.5661754274189259
0,0,28.0,6,0.0,0.0,,0.3440575399686394,0.5127836399753952,0.6203956167838058,0.62921889470104,0.5636433396508043,0.5761684819457511
0,0,29.0,6,0.0,0.0,,0.35859074849369976,0.5074278828194257,0.6202465261077326,0.6167537322792478,0.5813916154738182,0.5927177186822694
0,0,30.0,6,0.0,0.0,,0.34221157211418524,0.5104245518758123,0.6176308004951168,0.6231775056307192,0.6021752147881195,0.5810847705662364
0,0,31.0,6,0.0,0.0,,0.3339124041202408,0.5115877953258249,0.6145652863635415,0.6345705763852466,0.6168189027995925,0.5793182836122901
0,0,32.0,6,0.0,0.0,,0.3246441278985689,0.4943923510294176,0.6135532571383994,0.614077204793897,0.604804429130869,0.5767814091148972
0,0,33.0,6,0.0,0.0,,0.3028263992591952,0.5126109625609507,0.6093061563052558,0.6160263335828303,0.5964078679129793,0.6194819546802017
0,0,34.0,6,0.0,0.0,,0.31698857802121916,0.5173405685229712,0.6126464903587541,0.622610210846557,0.5983569669522939,0.624766690892413
0,0,35.0,6,0.0,0.0,,0.3280779518544465,0.499802079243019,0.6165413040527149,0.6105811787934454,0.5955741817205757,0.6150215918375006
0,0,36.0,6,0.0,0.0,,0.35867267228065847,0.4998820469959628,0.6136407645675069,0.6135500930037614,0.5865887731165644,0.6271049890323981
0,0,37.0,6,0.0,0.0,,0.3542232558024825,0.48794097500270023,0.6113203329793407,0.6092454520689989,0.5852072281246178,0.6172395099720085
0,0,38.0,6,0.0,0.0,,0.36472990096013713,0.48690835783084,0.6141460028024713,0.6165065922965065,0.5651920802750928,0.5819439436551896
0,0,39.0,6,0.0,0.0,,0.38654976871359387,0.4868865846189475,0.6095167819347951,0.6129439095528597,0.5803956323253289,0.550617263034911
0,0,40.0,6,0.0,0.0,,0.36675401957325127,0.4925715685547882,0.6100694290116189,0.61656876918847,0.5951702704291679,0.5469649539196851
0,0,41.0,6,0.0,0.0,,0.3707651065269264,0.48886908813746927,0.6121801760099863,0.6220609838887434,0.5866978790602216,0.5368786519925991
0,0,42.0,6,0.0,0.0,,0.3588684475334631,0.49068012817443807,0.6186877566334898,0.6212884065135136,0.58102958573286,0.5434322070750888
0,0,43.0,6,0.0,0.0,,0.3478392591727768,0.48825410378955764,0.6142971441384543,0.6216002414633325,0.6011316576465946,0.566133201869676
0,0,44.0,6,0.0,0.0,,0.35826825861925204,0.4837391670292539,0.61373859754639,0.6142468018863628,0.6008117535336028,0.5952962184639674
0,0,45.0,6,0.0,0.0,,0.36876026565528336,0.48027179617003235,0.6133226395862239,0.6241091828062239,0.6053658367921514,0.5697785585242329
0,0,46.0,6,0.0,0.0,,0.35459633951686664,0.4892127455070666,0.6156030836101859,0.6275259713114106,0.592675251921291,0.5512171289145379
0,0,47.0,6,0.0,0.0,,0.35494827140097956,0.49257022645168264,0.6120215679737668,0.6340488027038338,0.6178816597853987,0.54948683860148
0,0,48.0,6,0.0,0.0,,0.3369262039431897,0.5013699375681414,0.6086906003576359,0.6433318261536691,0.6178208039024511,0.540143943048995
0,0,49.0,6,0.0,0.0,,0.3594296422739567,0.49006418013951303,0.6067379931206822,0.6488981747057727,0.6257997745251067,0.5347101395737466
0,0,50.0,6,0.0,0.0,,0.36389123534706524,0.4926181713669986,0.608159635659814,0.6366770494828244,0.6283376695556023,0.49446188056031143
0,0,51.0,6,0.0,0.0,,0.3669132140532848,0.4857485183979806,0.6082698051998989,0.6357554924937117,0.6284287393044802,0.5215371636842017
0,0,52.0,6,0.0,0.0,,0.3758874844496103,0.4805801453832824,0.608357940831967,0.6429772214193487,0.6562053229504162,0.47820815167979064
0,0,53.0,6,0.0,0.0,,0.3833735940152646,0.483876563089642,0.6089050559619406,0.6456596826073413,0.6648254910438147,0.4986857522339271
0,0,54.0,6,0.0,0.0,,0.3772960342813908,0.48758427609254457,0.6108794058418385,0.6599481306395043,0.6490885958312265,0.4970517136689083
0,0,55.0,6,0.0,0.0,,0.3702554575297053,0.49872375743032116,0.6075841378489151,0.6664692692388512,0.6329645438546787,0.5251709876950603
0,0,56.0,6,0.0,0.0,,0.36179486927514215,0.49477280882882135,0.6023985770614001,0.663760184822174,0.6168536736957808,0.5190745394049169
0,0,57.0,6,0.0,0.0,,0.3739029540291597,0.489806599950915,0.6098184830590748,0.6583398347559283,0.6510587229300189,0.5618697188562312
0,0,58.0,6,0.0,0.0,,0.39375075589837805,0.4914301376251946,0.6084155914231827,0.6511383376347307,0.639668160384303,0.5322229890145408
0,0,59.0,6,0.0,0.0,,0.398432709514008,0.5002624309054113,0.607457187575663,0.6586012978943296,0.6313703901998449,0.5736188299370559
0,0,60.0,6,0.0,0.0,,0.38364840799279787,0.49941718261870005,0.609610751734248,0.6431016233561302,0.650574841780206,0.5440986345466261
0,0,61.0,6,0.0,0.0,,0.3685818283727237,0.5014044726795671,0.6114439624596846,0.6407533856302934,0.6431357517553805,0.5784000183784463
0,0,62.0,6,0.0,0.0,,0.365787177698778,0.4880020659972623,0.6142449063867463,0.644307645462561,0.6039366141324238,0.5633156436054108
0,0,63.0,6,0.0,0.0,,0.35410526841574796,0.4877615511520853,0.6118036464347323,0.6441480566420112,0.5923462374718864,0.5786388284391888
0,0,64.0,6,0.0,0.0,,0.3565474276375299,0.4884918196145742,0.6111850138198336,0.6483799520503692,0.599814419640777,0.5649761985811133
0,0,65.0,6,0.0,0.0,,0.3765439020228457,0.49859308470969116,0.6050945625401114,0.6400681843375972,0.5926494780470433,0.5932010766908667
0,0,66.0,6,0.0,0.0,,0.3820763715612664,0.49738874659440063,0.6033523297161494,0.6398626626780883,0.5965951678294993,0.5719681480379738
0,0,67.0,6,0.0,0.0,,0.38272731669734744,0.4937048001600849,0.608906378876138,0.6369662096431185,0.6235433258674716,0.5951629968068463
0,0,68.0,6,0.0,0.0,,0.3666777280444623,0.501869787223991,0.6090043002098239,0.6257023227462402,0.622454430715108,0.5742922465992992
0,0,69.0,6,0.0,0.0,,0.3709329426477759,0.5046773769677222,0.6053218795203549,0.624296873197982,0.6195303975728985,0.524336653650401
0,0,70.0,6,0.0,0.0,,0.3854585416312023,0.5089411516196477,0.6028501076592245,0.6321093841615533,0.6003497385571193,0.5552093918080077
0,0,71.0,6,0.0,0.0,,0.37991830915310304,0.510184011977186,0.6008641456695677,0.6420323837823065,0.6087800385207318,0.5398775656199185
0,0,72.0,6,0.0,0.0,,0.3700171412756167,0.5226196167892424,0.6012235799187633,0.6415517388597759,0.6259321688994725,0.5558823343824908
0,0,73.0,6,0.0,0.0,,0.3839843579710442,0.5018301072363756,0.6014888835093821,0.6389958989903437,0.6252459989881836,0.5345342654014974
0,0,74.0,6,0.0,0.0,,0.37198747258297626,0.5194965292855364,0.6049464678797918,0.6387548905191544,0.6057096129467313,0.5383049948462688
0,0,75.0,6,0.0,0.0,,0.3601988753923077,0.5058314679527836,0.603417173462843,0.6422630365146624,0.5953956031722841,0.5435678128126858
0,0,76.0,6,0.0,0.0,,0.3552000628178166,0.5067478236517158,0.6104334324939578,0.6403691255948754,0.5897455277761895,0.5584624020880975
0,0,77.0,6,0.0,0.0,,0.3350314820118293,0.5169377974642072,0.6100093355157847,0.6333378334408535,0.5846290990476629,0.5776636127949303
0,0,78.0,6,0.0,0.0,,0.34080436633396805,0.5087669673666669,0.6127944937080821,0.6328251547573469,0.5714996747370518,0.6009830231452291
0,0,79.0,6,0.0,0.0,,0.3580461601585304,0.5071016646296839,0.6093089409450883,0.627340874918197,0.5990590066825472,0.6042864279413441
0,0,80.0,6,0.0,0.0,,0.36294812813890603,0.5049035008716235,0.6068442281163806,0.630634294998033,0.6147949857498008,0.6070590232216829
0,0,81.0,6,0.0,0.0,,0.3463155723926622,0.5119484035428925,0.6075226992450272,0.6271318201232393,0.6070138709010731,0.5846672151230713
0,0,82.0,6,0.0,0.0,,0.3366405849067698,0.5074641184040172,0.6054633721691732,0.6187003943311962,0.6113564288240626,0.5815191981405057
0,0,83.0,6,0.0,0.0,,0.3424875939418742,0.5006394582336192,0.6107948095010501,0.6134403444465388,0.6231163472648988,0.6005590404520781
0,0,84.0,6,0.0,0.0,,0.347814760331846,0.495987239753185,0.6090435689261751,0.6210031935187657,0.6313820136817305,0.5944517677875326
0,0,85.0,6,0.0,0.0,,0.3570324018038348,0.5046350673076179,0.6096681409795962,0.6163724158569541,0.6285961825403442,0.5849680947100078
0,0,86.0,6,0.0,0.0,,0.3492025650899639,0.5146205348977545,0.6141586245493884,0.6198791363818916,0.655669134562775,0.5900835413028978
0,0,87.0,6,0.0,0.0,,0.32647381994117985,0.5139752940268814,0.6117346209648458,0.6203718668768818,0.6495738803954578,0.5780598457714295
0,0,88.0,6,0.0,0.0,,0.3204548028888956,0.5156212893958944,0.611096910425148,0.6275698996317426,0.6466269309155179,0.5455867207054977
0,0,89.0,6,0.0,0.0,,0.31194720957621264,0.5126418810232223,0.6139910010125449,0.6227176709139666,0.6368328486803903,0.5299941867947233
0,0,90.0,6,0.0,0.0,,0.3226863348662833,0.5171499685322358,0.6139169082791087,0.6219278268085099,0.6382825386288824,0.5839953494357786
0,0,91.0,6,0.0,0.0,,0.3419642046222039,0.5103628687548659,0.614639557235934,0.6187789937097582,0.6341807203220003,0.573786847544883
0,0,92.0,6,0.0,0.0,,0.3627491663314386,0.5091276365533359,0.6132655973432942,0.6209063812529039,0.6434324713296882,0.5933467024259442
0,0,93.0,6,0.0,0.0,,0.38240319152642155,0.5068869669071313,0.6164054116056781,0.629465502053677,0.6177076062376354,0.5807770567574579
0,0,94.0,6,0.0,0.0,,0.363991777259766,0.5011130987951298,0.6189798811567252,0.644986331007733,0.6150112416305892,0.591571319533401
0,0,95.0,6,0.0,0.0,,0.34870762641018904,0.5000007668507417,0.6190267403901291,0.6414698021993893,0.6319334923663824,0.5643929257832708
0,0,96.0,6,0.0,0.0,,0.3286698023897195,0.507869327588147,0.6189767533843893,0.6533733546605331,0.6352589725160702,0.5879756159625245
0,0,97.0,6,0.0,0.0,,0.32235868478678864,0.5186934629354151,0.6193199891761224,0.6519142813896399,0.6198817335828829,0.5551544421224806
0,0,98.0,6,0.0,0.0,,0.34094718788147266,0.5193126523836186,0.616961979486453,0.636305431358124,0.6336778441825928,0.5415440457492257
0,0,99.0,6,0.0,0.0,,0.3646810223784496,0.5098293927891613,0.6151482693501229,0.6329254404186601,0.6511779492534526,0.49042631109304474
0,0,100.0,6,0.0,0.0,,0.3674766620043814,0.48760831388474346,0.6147964854327136,0.6363478339469164,0.653464053153513,0.47640320240352557
1,0,21.0,6,0.0,0.5,,0.27384685037975104,0.37738639454987316,0.4604449023863449,0.4891336388937919,0.442282476329087,0.45798571150100686
1,0,22.0,6,0.0,0.5,,0.28656108999196844,0.36910471329219013,0.46275602787920045,0.47815623889884085,0.4500485827028101,0.46887003818982026
1,0,23.0,6,0.0,0.5,,0.2820745072938654,0.3701783484909494,0.46099869330879717,0.46667093762050804,0.46657687849438056,0.4550015009856204
1,0,24.0,6,0.0,0.5,,0.26739302421956324,0.37840998218416055,0.4661210374513973,0.46464341579136414,0.46233037333891325,0.4541410806737999
1,0,25.0,6,0.0,0.5,,0.2566310727586531,0.3725750775768713,0.4624157515120767,0.46053367258134836,0.4525538479555703,0.44004266139152365
1,0,26.0,6,0.0,0.5,,0.2634172038655783,0.374637057337128,0.4573512422717415,0.4732692672407094,0.47697150427496793,0.4591238338291751
1,0,27.0,6,0.0,0.5,,0.24173562727866252,0.36537240229482154,0.4582821254217543,0.47929229531574313,0.46967927235860873,0.4455737988732259
1,0,28.0,6,0.0,0.5,,0.23695858530145647,0.37636754944042944,0.45861235423933444,0.4665494778367602,0.4876794322584634,0.4495387194492605
1,0,29.0,6,0.0,0.5,,0.2531637546188851,0.3690788605682856,0.4555152504876444,0.4631313275820304,0.4882249703478744,0.4117653418579919
1,0,30.0,6,0.0,0.5,,0.2640692700215089,0.3684873646970402,0.45307101412292095,0.46042526954230134,0.4807145375459956,0.42890331678202065
1,0,31.0,6,0.0,0.5,,0.27817901384986893,0.36393806393714506,0.4546440980458236,0.46739937211013116,0.4994414571266767,0.49420854575002204
1,0,32.0,6,0.0,0.5,,0.2711689062625377,0.36099754297925885,0.4536716265683854,0.4724963099837888,0.48349527398044545,0.5214130577500462
1,0,33.0,6,0.0,0.5,,0.27924120949631825,0.35524926014010283,0.4527693943849821,0.4870769308451882,0.49472274792469156,0.4961616009941171
1,0,34.0,6,0.0,0.5,,0.27184804840745463,0.36577673274137495,0.4557205537569608,0.49208183425123375,0.499658062639191,0.4645724977493093
1,0,35.0,6,0.0,0.5,,0.2606276672718344,0.36532659282722296,0.45535637087340275,0.4882135482406609,0.5204276926260113,0.49182996343849733
1,0,36.0,6,0.0,0.5,,0.2404711498421425,0.36317942803467135,0.45411718982899585,0.49030046641579056,0.5223438041897758,0.49723488652876335
1,0,37.0,6,0.0,0.5,,0.2499593581728566,0.35749170159002686,0.4560423152168275,0.48667198290376384,0.49476696476761506,0.49010001038874434
1,0,38.0,6,0.0,0.5,,0.25584750287021363,0.37482419235744757,0.457346048036597,0.49358031495120136,0.4814375970610346,0.4950959478586925
1,0,39.0,6,0.0,0.5,,0.2517271988711878,0.37098223344196096,0.4571233944083536,0.4943947359980612,0.4908750344504891,0.4826455883481365
1,0,40.0,6,0.0,0.5,,0.2596548890338375,0.3755173428008569,0.458639624914131,0.48903213506692256,0.49297835919208743,0.47794958083592964
1,0,41.0,6,0.0,0.5,,0.26607344287593027,0.36990571369950426,0.4594727230852989,0.4797976432142407,0.47644679036729337,0.4671506045673916
1,0,42.0,6,0.0,0.5,,0.25958436084708025,0.3632104723255155,0.4615334678559667,0.4806941200366719,0.47920618422831723,0.4302356092710647
1,0,43.0,6,0.0,0.5,,0.26013950090168453,0.3714999469249236,0.46412989841006136,0.46744112375308156,0.49218660941631337,0.47997282567613625
1,0,44.0,6,0.0,0.5,,0.24582702242370685,0.37523259393719705,0.46545477455160517,0.46429123572187453,0.5386032488794119,0.4613552635890293
